match;round;ct;terrorists
1;1;1;0
1;2;2;0
1;3;3;0
1;4;4;0
1;5;5;0
1;6;5;1
1;7;6;1
1;8;7;1
1;9;8;1
1;10;9;1
1;11;10;1
1;12;10;2
1;13;11;2
1;14;12;2
1;15;13;2
1;16;2;14
1;17;2;15
1;18;3;15
1;19;4;15
1;20;5;15
1;21;5;16
2;1;1;0
2;2;2;0
2;3;2;1
2;4;2;2
2;5;2;3
2;6;3;3
2;7;3;4
2;8;3;5
2;9;3;6
2;10;4;6
2;11;4;7
2;12;5;7
2;13;5;8
2;14;5;9
2;15;5;10
2;16;11;5
2;17;12;5
2;18;12;6
2;19;12;7
2;20;12;8
2;21;12;9
2;22;12;10
2;23;12;11
2;24;12;12
2;25;12;13
2;26;13;13
2;27;13;14
2;28;13;15
2;29;13;16
3;1;1;0
3;2;2;0
3;3;2;1
3;4;2;2
3;5;2;3
3;6;2;4
3;7;2;5
3;8;2;6
3;9;3;6
3;10;4;6
3;11;5;6
3;12;6;6
3;13;7;6
3;14;8;6
3;15;8;7
3;16;7;9
3;17;7;10
3;18;7;11
3;19;7;12
3;20;8;12
3;21;8;13
3;22;9;13
3;23;10;13
3;24;10;14
3;25;11;14
3;26;12;14
3;27;13;14
3;28;14;14
3;29;15;14
3;30;15;15
3;31;15;16
3;32;15;17
3;33;15;18
3;34;18;16
3;35;18;17
3;36;18;18
3;37;18;19
3;38;18;20
3;39;18;21
3;40;21;19
3;41;21;20
3;42;22;20
4;1;0;1
4;2;0;2
4;3;0;3
4;4;0;4
4;5;1;4
4;6;1;5
4;7;2;5
4;8;3;5
4;9;4;5
4;10;4;6
4;11;5;6
4;12;5;7
4;13;5;8
4;14;5;9
4;15;5;10
4;16;10;6
4;17;10;7
4;18;10;8
4;19;11;8
4;20;12;8
4;21;12;9
4;22;12;10
4;23;12;11
4;24;13;11
4;25;13;12
4;26;13;13
4;27;13;14
4;28;13;15
4;29;13;16
5;1;1;0
5;2;2;0
5;3;3;0
5;4;3;1
5;5;4;1
5;6;5;1
5;7;6;1
5;8;6;2
5;9;7;2
5;10;8;2
5;11;9;2
5;12;10;2
5;13;11;2
5;14;11;3
5;15;12;3
5;16;4;12
5;17;5;12
5;18;6;12
5;19;7;12
5;20;8;12
5;21;9;12
5;22;10;12
5;23;11;12
5;24;12;12
5;25;12;13
5;26;13;13
5;27;13;14
5;28;13;15
5;29;13;16
6;1;0;1
6;2;1;1
6;3;2;1
6;4;3;1
6;5;3;2
6;6;3;3
6;7;4;3
6;8;5;3
6;9;6;3
6;10;7;3
6;11;7;4
6;12;7;5
6;13;7;6
6;14;7;7
6;15;7;8
6;16;9;7
6;17;10;7
6;18;11;7
6;19;12;7
6;20;12;8
6;21;13;8
6;22;14;8
6;23;14;9
6;24;15;9
6;25;16;9
7;1;1;0
7;2;2;0
7;3;2;1
7;4;2;2
7;5;2;3
7;6;2;4
7;7;2;5
7;8;2;6
7;9;2;7
7;10;3;7
7;11;3;8
7;12;3;9
7;13;3;10
7;14;4;10
7;15;4;11
7;16;12;4
7;17;13;4
7;18;13;5
7;19;14;5
7;20;15;5
7;21;16;5
8;1;1;0
8;2;2;0
8;3;2;1
8;4;3;1
8;5;4;1
8;6;5;1
8;7;6;1
8;8;6;2
8;9;7;2
8;10;8;2
8;11;9;2
8;12;9;3
8;13;9;4
8;14;9;5
8;15;9;6
8;16;6;10
8;17;7;10
8;18;8;10
8;19;9;10
8;20;9;11
8;21;9;12
8;22;9;13
8;23;10;13
8;24;11;13
8;25;12;13
8;26;13;13
8;27;14;13
8;28;15;13
8;29;15;14
8;30;15;15
8;31;16;15
8;32;16;16
8;33;17;16
8;34;16;18
8;35;17;18
8;36;18;18
8;37;19;18
8;38;19;19
8;39;19;20
8;40;21;19
8;41;21;20
8;42;22;20
9;1;1;0
9;2;2;0
9;3;3;0
9;4;4;0
9;5;5;0
9;6;6;0
9;7;6;1
9;8;6;2
9;9;6;3
9;10;6;4
9;11;6;5
9;12;6;6
9;13;6;7
9;14;7;7
9;15;8;7
9;16;7;9
9;17;7;10
9;18;7;11
9;19;7;12
9;20;7;13
9;21;7;14
9;22;7;15
9;23;7;16
11;1;0;1
11;2;1;1
11;3;1;2
11;4;1;3
11;5;1;4
11;6;1;5
11;7;2;5
11;8;2;6
11;9;3;6
11;10;4;6
11;11;5;6
11;12;5;7
11;13;5;8
11;14;6;8
11;15;7;8
11;16;9;7
11;17;10;7
11;18;10;8
11;19;10;9
11;20;10;10
11;21;10;11
11;22;10;12
11;23;10;13
11;24;11;13
11;25;11;14
11;26;12;14
11;27;13;14
11;28;14;14
11;29;15;14
11;30;15;15
11;31;15;16
11;32;16;16
11;33;17;16
11;34;17;17
11;35;18;17
11;36;19;17
